Date,Days (D),Odometer,Miles (M),Gallons (G),Total ($),Price/Gal ($pG),Station,Drive Style,MpG,Mp$,$pM,MpD,GpD,$pD
2014-04-09,12,15081,155.5,10.628,42.4,3.989,Costco,cmt,14.63116297,3.66745283,0.2726688103,12.95833333,0.8856666667,3.533333333
2014-04-19,10,15275,194.4,12.253,50.96,4.159,Costco,cmt,15.86550233,3.814756672,0.2621399177,19.44,1.2253,5.096
2014-04-24,5,15529,253.2,13.93,57.1,4.099,Costco,hwy-cmt,18.17659727,4.434325744,0.2255134281,50.64,2.786,11.42
2014-05-03,9,15700,171.1,10.31,41.95,4.069,Costco,hwy-cmt,16.59553831,4.078665077,0.2451782583,19.01111111,1.145555556,4.661111111
2014-05-13,10,15897,197.5,12.917,52.17,4.039,Costco,cmt,15.289928,3.785700594,0.2641518987,19.75,1.2917,5.217
2014-05-24,11,16093,195.7,13.366,53.05,3.969,Costco,cmt,14.64162801,3.688972667,0.2710781809,17.79090909,1.215090909,4.822727273
2014-06-04,10,16286,191.8,12.66,49.99,3.949,Costco,cmt,15.15007899,3.836767353,0.2606360792,19.18,1.266,4.999
2014-06-09,5,16518,232,12.719,50.23,3.949,Costco,hwy-cmt,18.24042771,4.618753733,0.2165086207,46.4,2.5438,10.046
2014-06-15,6,16700,181.9,11.156,44.06,3.949,Costco,hwy-cmt,16.30512729,4.128461189,0.2422210005,30.31666667,1.859333333,7.343333333
2014-06-21,6,16924,224.4,13.062,52.33,3.999,Costco,hwy-cmt,17.17960496,4.288171221,0.2331996435,37.4,2.177,8.721666667
2014-06-28,7,17059,134.4,8.771,35.51,4.049,Costco,cmt,15.32322426,3.784849338,0.2642113095,19.2,1.253,5.072857143
2014-07-07,9,17246,187.3,12.092,47.51,3.929,Costco,cmt,15.48957989,3.942327931,0.2536572344,20.81111111,1.343555556,5.278888889
2014-07-13,6,17441,195,11.466,44.36,3.869,Costco,hwy-cmt,17.00680272,4.395852119,0.2274871795,32.5,1.911,7.393333333
2014-07-23,10,17627,185.2,11.77,46.6,3.959,Costco,cmt,15.73491929,3.974248927,0.2516198704,18.52,1.177,4.66
2014-07-31,8,17783,156.6,10.089,37.02,3.669,Costco,cmt,15.52185549,4.230145867,0.2363984674,19.575,1.261125,4.6275
2014-08-11,11,17997,213,12.828,47.07,3.669,Costco,cmt,16.60430309,4.525175271,0.2209859155,19.36363636,1.166181818,4.279090909
2014-08-24,13,18170,173,11.665,42.45,3.639,Costco,cmt,14.8306901,4.075382803,0.2453757225,13.30769231,0.8973076923,3.265384615
2014-09-03,10,18359,188.9,11.532,42.31,3.669,Costco,cmt,16.38050642,4.464665564,0.2239809423,18.89,1.1532,4.231
2014-09-11,8,18572,212.6,11.64,43.06,3.699,Costco,hwy-cmt,18.26460481,4.937296795,0.2025399812,26.575,1.455,5.3825
2014-09-23,12,18766,194.1,12.265,43.9,3.579,Costco,cmt,15.82551977,4.421412301,0.2261720762,16.175,1.022083333,3.658333333
2014-10-06,13,18974,207.1,13.387,48.05,3.589,Costco,cmt,15.47023231,4.310093652,0.23201352,15.93076923,1.029769231,3.696153846
2014-10-16,10,19165,191.7,12.333,43.89,3.559,Costco,cmt,15.54366334,4.367737526,0.2289514867,19.17,1.2333,4.389
2014-10-31,15,19390,224.3,13.961,45.78,3.279,Costco,cmt,16.06618437,4.899519441,0.2041016496,14.95333333,0.9307333333,3.052
2014-11-11,11,19625,235,14.077,46.16,3.279,Costco,cmt,16.69389785,5.090987868,0.1964255319,21.36363636,1.279727273,4.196363636
2014-11-18,7,19789,163.9,10.042,32.93,3.279,Costco,cmt,16.32144991,4.977224415,0.2009151922,23.41428571,1.434571429,4.704285714
2014-11-26,8,19964,175.3,11.167,35.39,3.169,Costco,cmt,15.69803886,4.95337666,0.2018824872,21.9125,1.395875,4.42375
2014-12-06,10,20175,210.4,12.921,39.65,3.069,Costco,cmt,16.28356938,5.306431274,0.1884505703,21.04,1.2921,3.965
2014-12-21,15,20369,194,13.599,36.43,2.679,Costco,cmt,14.26575483,5.325281362,0.1877835052,12.93333333,0.9066,2.428666667
2014-01-06,16,20570,201.2,13.202,34.05,2.579,Costco,cmt,15.24011513,5.908957416,0.1692345924,12.575,0.825125,2.128125
2014-01-19,13,20792,221.4,14.533,35.45,2.439,Costco,cmt,15.23429436,6.245416079,0.1601174345,17.03076923,1.117923077,2.726923077
2015-01-30,11,21000,208,13.814,32.59,2.359,Costco,cmt,15.05718836,6.382325867,0.1566826923,18.90909091,1.255818182,2.962727273
2015-02-08,8,21224,224,14.134,35.04,2.479,Costco,cmt,15.84830904,6.392694064,0.1564285714,28,1.76675,4.38
2015-02-17,9,21388,163.3,11.204,28.67,2.559,Costco,cmt,14.57515173,5.69584932,0.1755664421,18.14444444,1.244888889,3.185555556
2015-02-26,9,21608,220,14.56,38.13,2.619,Costco,cmt,15.10989011,5.769735117,0.1733181818,24.44444444,1.617777778,4.236666667
2015-03-09,11,21790,182.5,12.406,31.13,2.509,Costco,cmt,14.71062389,5.862512046,0.1705753425,16.59090909,1.127818182,2.83
2015-03-19,10,21996,205.3,13.908,37.54,2.699,Costco,cmt,14.76128847,5.468833245,0.1828543595,20.53,1.3908,3.754
2015-03-31,12,22212,216,14.45,39.87,2.759,Costco,cmt,14.94809689,5.417607223,0.1845833333,18,1.204166667,3.3225
2015-04-10,10,22440,227.4,14.142,38.45,2.719,Costco,cmt,16.07976241,5.914174252,0.1690853122,22.74,1.4142,3.845
2015-04-20,10,22617,176.7,12.604,34.77,2.759,Costco,cmt,14.01935893,5.081967213,0.1967741935,17.67,1.2604,3.477
2015-05-01,10,22804,187.2,13.104,38.64,2.949,Costco,cmt,14.28571429,4.844720497,0.2064102564,18.72,1.3104,3.864
2015-05-08,7,23010,205.6,13.202,39.06,2.959,Costco,cmt,15.57339797,5.263696877,0.1899805447,29.37142857,1.886,5.58
2015-05-17,9,23221,209.9,13.662,40.15,2.939,Costco,cmt,15.36378276,5.227895392,0.1912815626,23.32222222,1.518,4.461111111
2015-05-29,12,23440,219.6,14.507,42.64,2.939,Costco,cmt,15.13751982,5.150093809,0.1941712204,18.3,1.208916667,3.553333333
2015-06-12,13,23629,189,13.181,40.32,3.059,Costco,cmt,14.33882103,4.6875,0.2133333333,14.53846154,1.013923077,3.101538462
2015-06-22,10,23811,181.8,12.86,38.82,3.019,Costco,cmt,14.13685848,4.683153014,0.2135313531,18.18,1.286,3.882
2015-07-06,14,24008,197.3,13.997,41.98,2.999,Costco,cmt,14.09587769,4.699857075,0.2127724278,14.09285714,0.9997857143,2.998571429
2015-07-19,13,24165,156.5,11.426,34.27,2.999,Costco,cmt,13.69683179,4.566676393,0.2189776358,12.03846154,0.8789230769,2.636153846
2015-07-29,10,24292,127.5,8.83,26.04,2.949,Costco,cmt,14.4394111,4.896313364,0.2042352941,12.75,0.883,2.604
2015-08-11,13,24472,179.4,12.62,35.32,2.799,Costco,cmt,14.2155309,5.079275198,0.1968784838,13.8,0.9707692308,2.716923077
